predict_date,class_id,predict_quantity
201711,103507,240
201711,124140,283
201711,125403,200
201711,136916,200
201711,169673,110
201711,175962,390
201711,178529,130
201711,186250,100
201711,194201,450
201711,194450,340
201711,198427,65
201711,206765,2100
201711,209945,110
201711,219195,130
201711,221795,350
201711,245609,171
201711,248352,345
201711,249875,10
201711,250658,156
201711,265980,195
201711,270690,580
201711,281301,240
201711,281792,491
201711,289386,650
201711,289403,189
201711,290854,120
201711,291086,340
201711,291514,55
201711,302513,40
201711,304458,459
201711,308913,167
201711,321683,2356
201711,340175,148
201711,347384,3456
201711,348641,365
201711,349023,893
201711,350259,553
201711,354068,549
201711,356986,501
201711,359378,103
201711,360648,163
201711,376193,102
201711,378356,431
201711,378536,121
201711,379265,243
201711,379876,162
201711,384924,893
201711,392593,284
201711,395234,102
201711,401052,140
201711,409854,2003
201711,412240,59
201711,416749,214
201711,417803,120
201711,425432,2194
201711,436105,412
201711,437063,87
201711,437598,87
201711,453752,239
201711,468392,164
201711,472603,75
201711,475895,102
201711,481950,132
201711,482497,146
201711,492952,253
201711,496459,395
201711,501564,176
201711,510309,78
201711,516750,49
201711,526401,432
201711,527765,86
201711,527809,149
201711,540712,603
201711,559132,174
201711,560265,110
201711,569154,189
201711,576298,161
201711,580470,497
201711,580634,284
201711,587678,182
201711,591790,264
201711,597927,141
201711,603972,452
201711,612523,123
201711,614059,385
201711,619401,394
201711,621073,1683
201711,628041,782
201711,649213,110
201711,651347,112
201711,651782,83
201711,653436,203
201711,654134,843
201711,671482,160
201711,682651,405
201711,683364,98
201711,687270,423
201711,692703,583
201711,693436,185
201711,713651,345
201711,714150,245
201711,714152,502
201711,714860,176
201711,725137,98
201711,732758,181
201711,735971,3121
201711,736094,310
201711,739296,1227
201711,741152,563
201711,743957,784
201711,745137,842
201711,750340,89
201711,760412,78
201711,786351,117
201711,789290,108
201711,810398,205
201711,815230,164
201711,819061,102
201711,842246,145
201711,851857,184
201711,854079,285
201711,854548,130
201711,861459,272
201711,871642,201
201711,872180,116
201711,883691,238
201711,890189,1108
201711,905061,352
201711,905745,161
201711,914348,756
201711,923841,638
201711,924154,1080
201711,948936,86
201711,950264,1045
201711,953842,1509
201711,961362,132
201711,961962,86
201711,963845,178
201711,973106,59
201711,978089,356
