class_id,sale_date,sale_quantity
103507,201503,58
103507,201504,232
103507,201505,226
103507,201506,286
103507,201507,297
103507,201508,355
103507,201509,442
103507,201510,1050
103507,201511,481
103507,201512,1433
103507,201601,993
103507,201602,953
103507,201603,650
103507,201604,145
103507,201605,772
103507,201606,829
103507,201607,378
103507,201608,406
103507,201609,684
103507,201610,632
103507,201611,876
103507,201612,1653
103507,201701,499
103507,201702,435
103507,201703,371
103507,201704,290
103507,201705,429
103507,201706,371
103507,201707,313
103507,201708,180
103507,201709,186
103507,201710,180
124140,201405,15
124140,201406,83
124140,201407,195
124140,201408,113
124140,201409,174
124140,201410,225
124140,201411,263
124140,201412,248
124140,201501,286
124140,201502,294
124140,201503,233
124140,201504,233
124140,201505,338
124140,201506,309
124140,201507,346
124140,201508,316
124140,201509,376
124140,201510,241
124140,201511,271
124140,201512,324
124140,201601,459
124140,201602,354
124140,201603,248
124140,201604,324
124140,201605,263
124140,201606,143
124140,201607,211
124140,201608,406
124140,201609,331
124140,201610,293
124140,201611,301
124140,201612,526
124140,201701,316
124140,201702,203
124140,201703,210
124140,201704,218
124140,201705,263
124140,201706,256
124140,201707,255
124140,201708,226
124140,201709,285
124140,201710,263
125403,201201,90
125403,201202,156
125403,201203,91
125403,201204,74
125403,201205,130
125403,201206,164
125403,201207,188
125403,201208,131
125403,201209,124
125403,201210,107
125403,201211,147
125403,201212,123
125403,201301,238
125403,201302,90
125403,201303,156
125403,201304,139
125403,201305,230
125403,201306,131
125403,201307,246
125403,201308,155
125403,201309,172
125403,201310,114
125403,201311,222
125403,201312,99
125403,201401,164
125403,201402,89
125403,201403,156
125403,201404,230
125403,201405,65
125403,201406,106
125403,201407,222
125403,201408,147
125403,201409,139
125403,201410,98
125403,201411,188
125403,201412,164
125403,201501,147
125403,201502,115
125403,201503,140
125403,201504,270
125403,201505,90
125403,201506,164
125403,201507,213
125403,201508,213
125403,201509,197
125403,201510,115
125403,201511,148
125403,201512,213
125403,201601,156
125403,201602,115
125403,201603,197
125403,201604,361
125403,201605,156
125403,201606,132
125403,201607,172
125403,201608,197
125403,201609,247
125403,201610,99
125403,201611,131
125403,201612,182
125403,201701,172
125403,201702,131
125403,201703,360
125403,201704,327
125403,201705,279
125403,201706,343
125403,201707,418
125403,201708,311
125403,201709,328
125403,201710,156
136916,201201,665
136916,201202,351
136916,201203,274
136916,201204,231
136916,201205,375
136916,201206,410
136916,201207,537
136916,201208,462
136916,201209,366
136916,201210,477
136916,201211,206
136916,201212,358
136916,201301,613
136916,201302,214
136916,201303,341
136916,201304,317
136916,201305,546
136916,201306,349
136916,201307,452
136916,201308,478
136916,201309,715
136916,201310,546
136916,201311,452
136916,201312,392
136916,201401,639
136916,201402,307
136916,201403,189
136916,201404,257
136916,201405,233
136916,201406,300
136916,201407,334
136916,201408,324
136916,201409,377
136916,201410,307
136916,201411,256
136916,201412,249
136916,201501,444
136916,201502,283
136916,201503,282
136916,201504,291
136916,201505,179
136916,201506,300
136916,201507,264
136916,201508,342
136916,201509,315
136916,201510,239
136916,201511,247
136916,201512,290
136916,201601,256
136916,201602,120
136916,201603,256
136916,201604,299
136916,201605,248
136916,201606,247
136916,201607,290
136916,201608,188
136916,201609,171
136916,201610,180
136916,201611,213
136916,201612,256
136916,201701,213
136916,201702,196
136916,201703,213
136916,201704,137
136916,201705,162
136916,201706,179
136916,201707,162
136916,201708,179
136916,201709,145
136916,201710,162
169673,201706,67
169673,201707,57
169673,201708,86
169673,201709,219
169673,201710,152
175962,201212,8
175962,201301,63
175962,201302,64
175962,201303,126
175962,201304,237
175962,201305,229
175962,201306,206
175962,201307,269
175962,201308,356
175962,201309,387
175962,201310,340
175962,201311,513
175962,201312,316
175962,201401,680
175962,201402,435
175962,201403,562
175962,201404,522
175962,201405,474
175962,201406,380
175962,201407,482
175962,201408,459
175962,201409,594
175962,201410,657
175962,201411,442
175962,201412,1627
175962,201501,727
175962,201502,450
175962,201503,356
175962,201504,371
175962,201505,364
175962,201506,254
175962,201507,387
175962,201508,309
175962,201509,348
175962,201510,411
175962,201511,269
175962,201512,222
175962,201601,302
175962,201602,214
175962,201603,372
175962,201604,593
175962,201605,214
175962,201606,221
175962,201607,269
175962,201608,134
175962,201609,151
175962,201610,269
175962,201611,411
175962,201612,633
175962,201701,396
175962,201702,151
175962,201703,301
175962,201704,134
175962,201705,167
175962,201706,143
175962,201707,119
175962,201708,103
175962,201709,214
175962,201710,237
178529,201201,1739
178529,201202,1493
178529,201203,1248
178529,201204,895
178529,201205,918
178529,201206,683
178529,201207,873
178529,201208,644
178529,201209,694
178529,201210,742
178529,201211,872
178529,201212,639
178529,201301,1465
178529,201302,943
178529,201303,999
178529,201304,781
178529,201305,907
178529,201306,684
178529,201307,759
178529,201308,644
178529,201309,958
178529,201310,884
178529,201311,730
178529,201312,587
178529,201401,1567
178529,201402,975
178529,201403,872
178529,201404,632
178529,201405,513
178529,201406,456
178529,201407,314
178529,201408,359
178529,201409,525
178529,201410,491
178529,201411,513
178529,201412,616
178529,201501,924
178529,201502,634
178529,201503,655
178529,201504,508
178529,201505,496
178529,201506,320
178529,201507,319
178529,201508,274
178529,201509,537
178529,201510,479
178529,201511,399
178529,201512,508
178529,201601,393
178529,201602,531
178529,201603,296
178529,201604,200
178529,201605,239
178529,201606,229
178529,201607,166
178529,201608,194
178529,201609,200
178529,201610,223
178529,201611,222
178529,201612,387
178529,201701,182
178529,201702,451
178529,201703,331
178529,201704,331
178529,201705,188
178529,201706,177
178529,201707,177
178529,201708,108
178529,201709,165
178529,201710,148
186250,201602,25
186250,201603,17
186250,201604,42
186250,201605,100
186250,201606,125
186250,201607,108
186250,201608,100
186250,201609,208
186250,201610,224
186250,201611,274
186250,201612,332
186250,201701,125
186250,201702,133
186250,201703,158
186250,201704,116
186250,201705,174
186250,201706,42
186250,201707,125
186250,201708,108
186250,201709,83
186250,201710,83
194201,201709,239
194201,201710,378
194450,201201,65
194450,201202,59
194450,201203,30
194450,201204,18
194450,201205,59
194450,201206,36
194450,201207,36
194450,201208,24
194450,201209,42
194450,201210,42
194450,201211,95
194450,201212,65
194450,201301,106
194450,201302,77
194450,201303,65
194450,201304,48
194450,201305,77
194450,201306,42
194450,201307,54
194450,201308,24
194450,201309,36
194450,201310,30
194450,201311,30
194450,201312,30
194450,201401,71
194450,201402,30
194450,201403,47
194450,201404,36
194450,201405,36
194450,201406,41
194450,201407,36
194450,201408,18
194450,201409,65
194450,201410,36
194450,201411,24
194450,201412,36
194450,201501,30
194450,201502,65
194450,201503,36
194450,201504,12
194450,201505,12
194450,201506,12
194450,201507,6
194450,201509,54
194450,201510,131
194450,201511,178
194450,201512,130
194450,201601,237
194450,201602,125
194450,201603,148
194450,201604,230
194450,201605,148
194450,201606,166
194450,201607,225
194450,201608,324
194450,201609,348
194450,201610,242
194450,201611,319
194450,201612,561
194450,201701,201
194450,201702,165
194450,201703,153
194450,201704,218
194450,201705,195
194450,201706,159
194450,201707,325
194450,201708,189
194450,201709,307
194450,201710,271
198427,201201,47
198427,201202,21
198427,201203,10
198427,201204,10
198427,201205,10
198427,201207,21
198427,201210,5
198427,201211,10
198427,201212,16
198427,201301,31
198427,201303,26
198427,201304,10
198427,201305,5
198427,201306,5
198427,201309,16
198427,201311,5
198427,201401,16
198427,201402,10
198427,201412,16
198427,201501,57
198427,201502,47
198427,201503,26
198427,201504,36
198427,201505,104
198427,201506,47
198427,201507,78
198427,201508,57
198427,201509,73
198427,201510,114
198427,201511,68
198427,201512,161
198427,201601,94
198427,201602,42
198427,201603,140
198427,201604,119
198427,201605,119
198427,201606,135
198427,201607,135
198427,201608,109
198427,201609,156
198427,201610,208
198427,201611,187
198427,201612,317
198427,201701,167
